Quality	#1 ID	#2 ID	#1 String	#2 String
0	41	9745	Well, well, well, so I can die easy,	Jesus gonna make upJesus gonna make up
0	42	9746	I am a man of constant sorrow,	I've seen trouble all my days.
0	43	9747	I'll say goodbye to Colorado,	Where I was born and partly raised.
0	44	9748	Your mother says I'm a stranger,	My face you'll never see no more.
0	45	9749	But there's one promise, darling:	I'll see you on God's golden shore.
0	46	9750	Through this open world I'm bound to ramble,	Through ice and snow, sleet and rain.
0	47	9751	I'm bound to ride that morning railroad.	Perhaps I'll die on that train.
0	48	9752	I'm going back to Colorado,	The place that I started from.
0	49	9753	If I'd knowed how bad you'd treat me,	Honey, I never would have come.
0	50	9754	Feeling funny in my mind, Lord,	I believe I'm fixing to die.
0	51	9755	Feeling funny in my mind, Lord,	I believe I'm fixing to die.
0	52	9756	Well, I don't mind dying,	But I hate to leave my children crying.
1	53	9757	Well, look over yonder to that burying ground!	Look over yonder to that burying ground!
0	54	9758	Sure seems lonesome, Lord, when the sun goes down.	Feeling funny in my eyes, Lord,
0	55	9759	I believe I'm fixing to die, fixing to die.	Feeling funny in my eyes, Lord,
1	56	9760	I believe I'm fixing to die.	Well, I don't mind dying,
0	57	9761	But I hate to leave my children crying.	There's a black smoke rising, Lord,
0	58	9762	It's rising up above my head, up above my head.	Well, there's black smoke rising, Lord,
0	59	9763	It's rising up above my head,	And tell Jesus make up my dying bed.
0	60	9764	Well, I'm walking kind of funny, Lord,	I believe I'm fixing to die, fixing to die.
0	61	9765	Yes, I'm walking kind of funny, Lord,	I believe I'm fixing to die,
0	62	9766	Fixing to die, fixing to die.	Well, I don't mind dying,
0	63	9767	I've been around this whole country,	But I never yet found Fennario.
1	64	9768	Well, as we marched down, as we marched down,	Well, as we marched down to Fennario,
0	65	9769	Well, our captain fell in love with a lady like a dove.	Her name that she had was Pretty PeggyO.
0	66	9770	Well, what will your mother say, what will your mother say,	What will your mother say, Pretty PeggyO?
0	67	9771	What will your mother say to know you're going away,	You're never, never, never coming backiO?
0	68	9772	Come running down your stairs, come running down your stairs,	Come running down your stairs, Pretty PeggyO!
0	69	9773	Come running down your stairs, combing back your yellow hair,	You're the prettiest darned girl I ever seeniO!
0	70	9774	The lieutenant, he has gone, the lieutenant, he has gone,	The lieutenant, he has gone, Pretty PeggyO!
0	71	9775	The lieutenant, he has gone, long gone.	He's riding down in Texas with the rodeo.
0	72	9776	Well, the captain, he is dead, our captain, he is dead,	Our captain, he is dead, Pretty PeggyO!
0	73	9777	Well, our captain, he is dead  died for a maid.	He's buried somewheres in LouisianaO.
1	74	9778	Highway 51 runs right by my baby's door.	Highway 51 runs right by my baby's door.
0	75	9779	If I don't get the girl I'm loving, won't go down Highway 51 no more.	Well, I know that highway like I know my hand.
0	76	9780	Yes, I know that highway like I know the back of my hand.	Running from up Wisconsin way down to no man's land.
1	77	9781	Well, if I should die 'fore my time should come,	And if I should die 'fore my time should come,
0	78	9782	Won't you bury my body out on Highway 51?	Highway 51 runs right by my baby's door.
0	79	9783	I said Highway 51 runs right by my baby's door.	If I don't get the gal I'm loving, won't go down Highway 51 no more.
0	80	9784	Mary wore three links of chain.	Every link was Jesus's name.
0	81	9785	Keepa your hand on that plow, hold on!	Oh, Lord, oh, Lord,
0	82	9786	Keepa your hand on that plow, hold on!	Mary, Mark, and Luke, and John,
0	83	9787	All them prophets good and gone,	Keepa your hand on that plow, hold on!
0	84	9788	Oh, Lord, oh, Lord,	Keepa your hand on that plow, hold on!
0	85	9789	Well, I never been to heaven, but I've been told	Streets up there're lined with gold.
0	86	9790	Keepa your hand on that plow, hold on!	Oh, Lord, oh, Lord,
0	87	9791	Keepa your hand on that plow, hold on!	Oh, Lord, oh, Lord,
0	88	9792	Keepa your hand on that plow, hold on!	Oh, Lord, oh, Lord,
0	89	9793	I first heard this from Rick von Schmidt. He lives in Cambridge. Rick's a blues guitar player. I met him one day in the green pastures of Harvard University.	Baby, let me follow you down,
0	90	9794	Baby, let me follow you down,	Well, I'll do anything in this GodAlmighty world
0	91	9795	If you just let me follow you down.	Can I come home with you?
0	92	9796	Baby, can I come home with you?	Yes, I'll do anything in this GodAlmighty world
0	93	9797	If you just let me come home with you.	Baby, let me follow you down,
0	94	9798	Baby, let me follow you down.	Well, I'll do anything in this GodAlmighty world
0	95	9799	If you just let me follow you down.	Yes, I'll do anything in this GodAlmighty world
0	96	9800	There is a house down in New Orleans they call the Rising Sun	And it's been the ruin of many a poor girl  and me  oh, God!  I'm a one.
0	97	9801	My mother was a tailor  she sewed these new blue jeans.	My sweetheart was a gambler, Lord, down in New Orleans.
0	98	9802	Now, the only thing a gambler needs is a suitcase and a trunk	And the only time he's satisfied is when he's on a drunk.
0	99	9803	He fills his glasses up to the brim and he'll pass the cards around	And the only pleasure he gets out of life is rambling from town to town.
0	100	9804	Oh, tell my baby sister not to do what I have done,	But shun that house in New Orleans they call the Rising Sun.
0	101	9805	Well, it's one foot on the platform and the other foot on the train.	I'm going back to New Orleans to wear that ball and chain.
0	102	9806	I'm going back to New Orleans  my race is almost run.	I'm going back to end my life down in the Rising Sun.
0	103	9807	There is a house in New Orleans they call the Rising Sun	And it's been the ruin of many a poor girl  and me  oh, God!  I'm a one.
0	104	9808	I was born in Dixie in a boomer's shack,	Just a little shanty by the railroad track.
0	105	9809	Freight train was the one taught me how to cry,	Humming all the drivers with my lullaby.
0	106	9810	I've got the freight train blues!	Oh, lawdy, mama, got 'em in the bottom of my rambling shoes!
0	107	9811	And when the whistle blows, I got to go  baby, don't you know?	It looks like I'm never gonna lose the freight train blues.
0	108	9812	Well, my daddy was a fireman and my mama, hey,	She was the only daughter of the engineer.
0	109	9813	My sweetheart was a brakeman and it ain't no joke,	It's a shame the way she keeps a good man broke.
0	110	9814	I got the freight train blues!	Oh, lawdy, I got 'em in the bottom of my rambling shoes!
0	111	9815	And when the whistle blows, I got to go  oh, mama, don't you know?	Well, it looks like I'm never gonna lose the freight train blues.
0	112	9816	Well, the only thing that makes me laugh again	Is a southbound whistle on a southbound train.
0	113	9817	Every place I wanna go	I never can go because, you know,
0	114	9818	I got the freight train blues!	Oh, lawdy, mama, got 'em in the bottom of my rambling shoes!
0	115	9819	I'm out here a thousand miles from my home,	Walking a road other men have gone down.
0	116	9820	I'm seeing your world of people and things,	Your paupers and peasants and princes and kings.
0	117	9821	Hey, hey, Woody Guthrie, I wrote you a song	'Bout a funny, old world that's coming along.
0	118	9822	Seems sick and it's hungry, it's tired and it's torn.	It looks like it's dying and it's hardly been born.
0	119	9823	Hey, Woody Guthrie, but I know that you know	All the things that I'm saying and many times more.
0	120	9824	I'm singing you the song, but I can't sing enough	'Cause there's not many men that done the things that you've done.
0	121	9825	Here's to Cisco, and Sonny, and Leadbelly too,	And to all the good people that traveled with you.
0	122	9826	Here's to the hearts and the hands of the men	That come with the dust and are gone with the wind.
0	123	9827	I'm leaving tomorrow, but I could leave today.	Somewhere down the road some day,
0	124	9828	The very last thing that I'd want to do	Is to say I've been hitting some hard traveling too.
1	125	9829	Well, there's one kind of favor I'll ask of you,	Well, there's one kind of favor I'll ask of you,
0	126	9830	There's just one kind of favor I'll ask of you:	You can see that my grave is kept clean.
1	127	9831	And there's two white horses following me,	And there's two white horses following me,
0	128	9832	I got two white horses following me,	Waiting on my burying ground.
1	129	9833	Did you ever hear that coffin sound?	Did you ever hear that coffin sound?
0	130	9834	Did you ever hear that coffin sound?	Means another poor boy is underground.
1	131	9835	Did you ever hear them church bells toll?	Have you ever heard them church bells toll?
0	132	9836	Did you ever hear them church bells toll?	Means another poor boy is dead and gone.
1	133	9837	Well, my heart stopped beating, my hands turned cold,	And my heart stopped beating and my hands turned cold,
0	134	9838	Well, my heart stopped beating and my hands turned cold.	Now I believe what the Bible told.
1	135	9839	There's just one last favor I'll ask of you,	And there's one last favor I'll ask of you,
0	136	9840	There's just one last favor I'll ask of you:	See that my grave is kept clean.
0	137	9841	How many roads must a man walk down	Before you call him a man?
0	138	9842	How many seas must a white dove sail	Before she sleeps in the sand?
0	139	9843	Yes, and how many times must the cannon balls fly	Before they're forever banned?
1	140	9844	The answer, my friend, is blowing in the wind,	The answer is blowing in the wind.
0	141	9845	Yes, and how many years can a mountain exist	Before it is washed to the sea?
0	142	9846	Yes, and how many years can some people exist	Before they're allowed to be free?
0	143	9847	Yes, and how many times can a man turn his head	And pretend that he just doesn't see?
1	144	9848	The answer, my friend, is blowing in the wind,	The answer is blowing in the wind.
0	145	9849	Yes, and how many times must a man look up	Before he can see the sky?
0	146	9850	Yes, and how many ears must one man have	Before he can hear people cry?
0	147	9851	Yes, and how many deaths will it take till he knows	That too many people have died?
1	148	9852	The answer, my friend, is blowing in the wind,	The answer is blowing in the wind.
0	149	9853	If you're traveling in the north country fair,	Where the winds hit heavy on the borderline,
0	150	9854	Remember me to the one who lives there	For she once was a true love of mine.
0	151	9855	If you go when the snowflakes storm,	When the rivers freeze and summer ends,
0	152	9856	Please see she has a coat so warm,	To keep her from the howling winds.
0	153	9857	Please see if her hair hangs long,	If it rolls and flows all down her breast.
0	154	9858	Please see for me if her hair's hanging long	For that's the way I remember her best.
0	155	9859	I'm wondering if she remembers me at all.	Many times I've often prayed
1	156	9860	In the darkness of my night,	In the brightness of my day.
0	157	9861	So, if you're traveling in the north country fair,	Where the winds hit heavy on the borderline,
0	158	9862	Remember me to the one who lives there	For she once was a true love of mine.
0	159	9863	Come, you masters of war, you that build the big guns,	You that build the death planes, you that build all the bombs,
0	160	9864	You that hide behind walls, you that hide behind desks,	I just want you to know I can see through your masks.
0	161	9865	You that never done nothing but build to destroy,	You play with my world like it's your little toy,
0	162	9866	You put a gun in my hand and you hide from my eyes	And you turn and run farther when the fast bullets fly.
0	163	9867	Like Judas of old, you lie and deceive,	A world war can be won you want me to believe,
0	164	9868	But I see through your eyes and I see through your brain	Like I see through the water that runs down my drain.
0	165	9869	You fasten all the triggers for the others to fire,	Then you set back and watch when the deathcount gets higher
0	166	9870	And you hide in your mansion while the young people's blood	Flows out of their bodies and is buried in the mud.
0	167	9871	You've thrown the worst fear that can ever be hurled,	Fear to bring children into the world.
0	168	9872	For threatening my baby, unborn and unnamed,	You ain't worth the blood that runs in your veins.
0	169	9873	How much do I know, to talk out of turn?	You might say that I'm young, you might say I'm unlearned.
0	170	9874	But there's one thing I know, though I'm younger than you:	That even Jesus would never forgive what you do.
0	171	9875	Let me ask you one question: Is your money that good?	Will it buy you forgiveness? Do you think that it could?
0	172	9876	I think you will find, when your death takes its toll,	All the money you made will never buy back your soul.
0	173	9877	And I hope that you die and your death will come soon,	I'll follow your casket on the pale afternoon
0	174	9878	And I'll watch while you're lowered down to your deathbed	And I'll stand over your grave till I'm sure that you're dead.
0	175	9879	Well, I'm walking down the highway	With my suitcase in my hand.
0	176	9880	Yes, I'm walking down the highway	With my suitcase in my hand.
0	177	9881	Lord, I really miss my baby!	She's in some foreign land.
0	178	9882	Well, your streets are getting empty,	Lord, your highway's getting filled.
1	179	9883	And your streets are getting empty,	And your highway's getting filled.
0	180	9884	Well, the way I love that woman,	I swear it's bound to get me killed.
0	181	9885	Well, I been gambling so long,	Lord, I ain't got much more to lose.
0	182	9886	Yes, I been gambling so long,	Lord, I ain't got much more to lose.
0	183	9887	Right now I'm having trouble.	Please don't take away my highway shoes.
1	184	9888	Well, I'm bound to get lucky, baby,	Or I'm bound to die trying.
0	185	9889	Yes, I'm bound to get lucky, baby,	Lord, Lord, I'm bound to die trying.
0	186	9890	Well, meet me in the middle of the ocean	And we'll leave this old highway behind.
0	187	9891	Well, the ocean took my baby,	My baby stole my heart from me.
0	188	9892	Yes, the ocean took my baby,	My baby took my heart from me.
0	189	9893	She packed it all up in a suitcase.	Lord, she took it away to Italy, Italy.
0	190	9894	So, I'm walking down your highway	Just as far as my poor eyes can see.
0	191	9895	Yes, I'm walking down your highway	Just as far as my eyes can see,
0	192	9896	From the Golden Gate Bridge	All the way to the Statue of Liberty.
0	193	9897	Unlike most of the songs nowadays are being written uptown in Tin Pan Alley  that's where most of the folk songs come from nowadays, thisthis is a songthis wasn't written up there, this was written somewhere down in the United States.	Well, the Lone Ranger and Tonto were riding down the line,
0	194	9898	Fixing everybody's troubles  everybody's 'cept mine.	Someone musta told 'em that I was doing fine.
0	195	9899	Oh, you five and tencent women with nothing in your heads,	I got a real gal I'm loving, Lord, I'll love her till I'm dead.
0	196	9900	Go away from my door and my window too, right now.	Lord, I ain't going down to no racetrack see no sports car run.
0	197	9901	I don't have no sports car and I don't even care to have one.	I can walk anytime around the block.
0	198	9902	Well, the wind keeps blowing me up and down the street,	With my hat in my hand and my boots on my feet.
0	199	9903	Watch out so you don't step on me!	Well, look it here, buddy, you wanna be like me?
0	200	9904	Pull out your sixshooter and rob every bank you can see.	Tell the judge I said it was alright, yeah!
1	201	9905	Oh, where have you been, my blueeyed son?	And where have you been, my darling young one?
0	202	9906	I've stumbled on the side of twelve misty mountains,	I've walked and I've crawled on six crooked highways,
0	203	9907	I've stepped in the middle of seven sad forests,	I've been out in front of a dozen dead oceans,
0	204	9908	I've been ten thousand miles in the mouth of a graveyard,	And it's a hard, it's a hard, it's a hard, it's a hard,
0	205	9909	It's a hard rain's gonna fall.	Oh, what did you see, my blueeyed son?
0	206	9910	And what did you see, my darling young one?	I saw a newborn baby with wild wolves all around it,
0	207	9911	I saw a highway of diamonds with nobody on it,	I saw a black branch with blood that kept dripping,
0	208	9912	I saw a room full of men with their hammers bleeding,	I saw a white ladder all covered with water,
0	209	9913	I saw ten thousand talkers whose tongues were all broken,	I saw guns and sharp swords in the hands of young children,
0	210	9914	And it's a hard, it's a hard, it's a hard, and it's a hard,	It's a hard rain's gonna fall.
1	211	9915	What did you hear, my blueeyed son?	And what did you hear, my darling young one?
0	212	9916	I heard the sound of a thunder that roared out a warning,	I heard the roar of a wave that could drown the whole world,
0	213	9917	I heard one hundred drummers whose hands were blazing,	I heard ten thousand whispering and nobody listening,
0	214	9918	I heard one person starve, I heard many people laughing,	I heard the song of a poet who died in the gutter,
0	215	9919	I heard the sound of a clown who cried in the alley,	And it's a hard, it's a hard, it's a hard, it's a hard,
0	216	9920	It's a hard rain's gonna fall.	Oh, what did you meet, my blueeyed son?
0	217	9921	And who did you meet, my darling young one?	I met a young child beside a dead pony,
0	218	9922	I met a white man who walked a black dog,	I met a young woman whose body was burning,
0	219	9923	I met a young girl  she gave me a rainbow,	I met one man who was wounded in love,
0	220	9924	I met another man who was wounded in hatred,	And it's a hard, it's a hard, it's a hard, it's a hard,
0	221	9925	It's a hard rain's gonna fall.	And what'll you do now, my blueeyed son?
0	222	9926	And what'll you do now, my darling young one?	I'm going back out 'fore the rain starts falling,
0	223	9927	I'll walk to the depths of the deepest, dark forest,	Where the people are many and their hands are all empty,
0	224	9928	Where the pellets of poison are flooding their waters,	Where the home in the valley meets the damp, dirty prison
0	225	9929	And the executioner's face is always wellhidden,	Where hunger is ugly, where the souls are forgotten,
0	226	9930	Where black is the color, where none is the number,	And I'll tell it and speak it and think it and breathe it,
0	227	9931	And reflect from the mountain so all souls can see it,	And I'll stand on the ocean until I start sinking,
0	228	9932	But I'll know my song well before I start singing,	And it's a hard, it's a hard, it's a hard, and it's a hard,
0	229	9933	Well, it ain't no use to sit and wonder why, babe,	If'n you don't know by now.
0	230	9934	And it ain't no use to sit and wonder why, babe 	It'll never do, somehow.
0	231	9935	When your rooster crows at the break of dawn,	Look out your window and I'll be gone.
0	232	9936	You're the reason I'm traveling on,	But don't think twice, it's alright.
0	233	9937	And it ain't no use in turning on your light, babe,	The light I never knowed.
0	234	9938	And it ain't no use in turning on your light, babe 	I'm on the dark side of the road.
0	235	9939	But I wish there was something you would do or say	To try and make me change my mind and stay.
0	236	9940	But we never did too much talking, anyway.	But don't think twice, it's alright.
0	237	9941	So, it ain't no use in calling out my name, gal,	Like you never done before.
0	238	9942	And it ain't no use in calling out my name, gal 	I can't hear you anymore.
0	239	9943	I'm thinking and wondering, walking down the road.	I once loved a woman  a child, I am told.
0	240	9944	I give her my heart, but she wanted my soul.	But don't think twice, it's alright.
0	241	9945	So long, honey babe.	Where I'm bound I can't tell.
0	242	9946	Goodbye's too good a word, babe,	"So I'll just say ""Fare thee well""."
0	243	9947	I ain't saying you treated me unkind.	You coulda done better, but I don't mind.
0	244	9948	You just kinda wasted my precious time,	But don't think twice, it's alright.
0	245	9949	While riding on a train going west,	I fell asleep for to take my rest.
0	246	9950	I dreamed a dream that made me sad,	Concerning myself and the first few friends I had.
0	247	9951	With halfdamp eyes I stared to the room	Where my friends and I spent many an afternoon,
0	248	9952	Where we together weathered many a storm,	Laughing and singing till the early hours of the morn,
0	249	9953	By the old wooden stove where our hats was hung,	Our words was told, our songs was sung,
0	250	9954	Where we longed for nothing and were satisfied,	Joking and talking about the world outside.
0	251	9955	With hungry hearts through the heat and cold,	We never much thought we could get very old,
0	252	9956	We thought we could sit forever in fun.	Our chances really was a million to one.
0	253	9957	As easy it was to tell black from white,	It was all that easy to tell wrong from right.
0	254	9958	And our choices, they was few so the thought never hit	That the one road we traveled would ever shatter or split.
0	255	9959	How many a year has passed and gone,	Many a gamble has been lost and won,
0	256	9960	And many a road taken by many a first friend 	And each one I've never seen again.
0	257	9961	I wishI wishI wish in vain	That we could sit simply in that room again.
0	258	9962	Ten thousand dollars at the drop of a hat,	I'd give it all gladly if our lives could be like that.
0	259	9963	Oxford Town, Oxford Town,	Everybody's got their heads bowed down,
0	260	9964	Sun don't shine above the ground.	Ain't going down to Oxford Town.
0	261	9965	He went down to Oxford Town.	Guns and clubs followed him down
0	262	9966	All because his face was brown.	Better get away from Oxford Town.
0	263	9967	Oxford Town around the bend,	Come to the door, he couldn't get in
0	264	9968	All because of the color of his skin.	What do you think about that, my friend?
0	265	9969	Me and my gal, my gal's son,	We got met with a tear gas bomb.
1	266	9970	I don't even know why we come.	Going back where we come from.
0	267	9971	Oxford Town in the afternoon,	Everybody singing a sorrowful tune.
0	268	9972	Two men died 'neath the Mississippi moon.	Somebody better investigate soon.
0	269	9973	Corrina, Corrina,	Gal, where you been so long?
0	270	9974	Corrina, Corrina,	Gal, where you been so long?
0	271	9975	I been worrying about you, baby.	Baby, please come home.
1	272	9976	I got a bird that whistles,	I got a bird that sings.
1	273	9977	I got a bird that whistles,	I got a bird that sings.
1	274	9978	But I ain't got Corrina.	Life don't mean a thing.
1	275	9979	Corrina, Corrina,	Gal, you're on my mind.
1	276	9980	Corrina, Corrina,	Gal, you're on my mind.
0	277	9981	I was sitting down thinking of you.	I just can't keep from crying.
0	278	9982	One time ago a crazy dream came to me,	I dreamt I was walking in World War III.
0	279	9983	Went to the doctor the very next day	To see what kinda words he could say.
0	280	9984	Said it was a bad dream.	"""I wouldn't worry 'bout it none, though. Them old dreams are only in your head."""
0	281	9985	"I said, ""Hold it, doc, a World War passed through my brain!"""	"He said, ""Nurse, get your pad, the boy's insane!"""
0	282	9986	"He grabbed my arm, I said ""Ouch!"""	As I landed on the psychiatric couch.
0	283	9987	"He said, ""Tell me about it."""	"""Well, the whole thing started at three o'clock fast,"
0	284	9988	It was all over by a quarter past.	I was down in the sewer with some little lover
0	285	9989	When I peeked out from a manhole cover,	Wondering who turned the lights on us.
0	286	9990	"""Well, I got up and I walked around,"	Up and down the lonesome town.
0	287	9991	I stood wondering which way to go.	I lit a cigarette on a parking meter and walked on down the road.
0	288	9992	It was a normal day.	"""Well, I rung the fallout shelter bell"
0	289	9993	And I leaned my head and I give a yell:	'Give me a string bean! I'm a hungry man!'
0	290	9994	Shotgun fired and away I ran.	I don't blame him too much, though. He didn't know me.
0	291	9995	"""Down the corner by the hot dog stand,"	I seen a man.
0	292	9996	I said, 'Howdy, friend, I guess it's just us two.'	He screamed a bit and away he flew.
0	293	9997	Thought I was a communist.	"""Well, I spied me a girl and, before she could leave,"
0	294	9998	I said, 'Let's go and play Adam and Eve.'	Took her by the hand and my heart was thumping,
0	295	9999	She said, 'Hey, man, you crazy or something?	You seen what happened last time they started.'
0	296	10000	"""Well, I seen your Cadillac window uptown."	There was nobody around.
0	297	10001	I got into the driver's seat	And I drove down Fortysecond Street,
0	298	10002	In my Cadillac.	Good car to drive, after a war.
0	299	10003	"""Well, I remember seeing some ad"	So I turned on my Conelrad.
0	300	10004	But I didn't pay the Con Ed bill	So the radio didn't work so well.
0	301	10005	Turned on my record player.	It was RockADay Johnny singing,
0	302	10006	'Tell your ma, tell your pa,	Our loves are gonna grow, oohwah, oohwah.'
0	303	10007	"""I was feeling kinda lonesome and blue,"	I needed somebody to talk to.
0	304	10008	So, I called up the operator of time	Just to hear a voice of some kind.
0	305	10009	'When you hear the beep it will be three o'clock.'	"She said that for over an hour and I hung up."""
0	306	10010	Well, the doctor interrupted me just about then,	"Saying, ""Hey, I've been having the same old dreams."
0	307	10011	But mine was a little different, you see.	I dreamt the only person left after the war was me.
0	308	10012	"I didn't see you around."""	Well, now, time passed and now it seems
1	309	10013	Everybody's having them dreams.	Everybody sees hisself
0	310	10014	Walking around with no one else.	"""Half the people can be part right all of the time and some of the people can be all right part of the time, but all the people can't be all right all of the time."""
0	311	10015	I think Abraham Lincoln said that.	"""I'll let you be in my dream if I can be in yours."""
1	312	10016	Honey, just allow me one more chance to get along with you.	Honey, just allow me one more chance, I'll do anything for you.
0	313	10017	Well, I'm walking down the road with my head in my hand.	I'm looking for a woman needs a worried man.
0	314	10018	Just a one kind favor I ask of you: allow me just one more chance.	Honey, just allow me one more chance to ride your aeroplane.
0	315	10019	Honey, just allow me one more chance to ride your passenger train.	Well, I've been looking all over for a girl like you.
0	316	10020	I can't find nobody so you'll have to do.	Just a one kind favor I ask of you: allow me just one more chance.
1	317	10021	Honey, just allow me one more chance to get along with you.	Honey, just allow me one more chance, I'll do anything for you.
0	318	10022	Well, looking for a woman that ain't got no man	Is just looking for a needle that's lost in the sand.
0	319	10023	Well, I took me a woman late last night.	I was threefourths drunk, she looked alright 
0	320	10024	Till she started peeling off her onion gook.	"She took off her wig, said, ""How do I look?"""
0	321	10025	I's highflying, barenaked, out the window!	Well, sometimes I might get drunk,
0	322	10026	Walk like a duck, and smell like a skunk.	Don't hurt me none, it don't hurt my pride
0	323	10027	'Cause I got my little lady right by my side.	She's trying to hide, pretending she don't know me!
0	324	10028	I's out there painting on the old woodshed	When a can of black paint did fell on my head.
0	325	10029	I went down to scrub and rub,	But I had to sit in back of the tub.
0	326	10030	Cost a quarter, halfprice.	Well, my telephone rang, it would not stop.
0	327	10031	It's President Kennedy calling me up.	"He said, ""My friend, Bob, what do we need to make the country grow?"""
0	328	10032	"I said, ""My friend, John, Brigitte Bardot,"	Anita Ekberg, Sophia Loren.
0	329	10033	"Country'll grow."""	Well, I got a woman five feet short,
0	330	10034	She yells and hollers and screams and snorts.	She tickles my nose, pats me on the head,
0	331	10035	Rolls me over, and kicks me out of bed.	She's a maneater, meatgrinder, bad loser.
0	332	10036	Oh, there ain't no use in me working all the time:	I got a woman who works herself blind.
0	333	10037	Works up to her britches, up to her neck,	Writes me letters, and sends me checks.
0	334	10038	She's a humdinger, folksinger.	Late one day in the middle of the week,
0	335	10039	My eyes were closed, I was half asleep.	I chased me a woman up the hill
0	336	10040	Right in the middle of an airraid drill.	I jumped a fallout shelter! I jumped a string bean! I jumped a TV dinner! I jumped a shotgun!
0	337	10041	Now, the man on the stand, he wants my vote,	He's running for office on the ballot note.
0	338	10042	He's out there preaching in front of the steeple,	Telling me he loves all kinds of people.
0	339	10043	He's eating bagels. He's eating pizza. He's eating chitlins.	Oh, set me down on a television floor,
0	340	10044	I'll flip the channel to number four.	Out of the shower comes a football man
0	341	10045	With a bottle of oil in his hand,	Greasy kid stuff. What I want to know, Mr. Football Man, is what do you do about Willy Mays? Martin Luther King? Olatunji?
0	342	10046	Well, the funniest woman I ever seen	Was the greatgranddaughter of Mr. Clean.
0	343	10047	She takes about fifteen baths a day,	Wants me to grow a mustache on my face.
0	344	10048	She's insane!	Well, ask me why I'm drunk all the time 
0	345	10049	Levels my head and eases my mind.	I just walk along and stroll and sing,
0	346	10050	I see better days and I do better things.	I catch dinosaurs! Make love to Elizabeth Taylor! Catch hell from Richard Burton!
0	347	10051	Come gather 'round, people, wherever you roam,	And admit that the waters around you have grown,
0	348	10052	And accept it that soon you'll be drenched to the bone.	If your time to you is worth saving,
0	349	10053	Then you better start swimming or you'll sink like a stone	For the times, they are achanging.
0	350	10054	Come, writers and critics who prophesize with your pen,	And keep your eyes wide  the chance won't come again,
0	351	10055	And don't speak too soon for the wheel's still in spin	And there's no telling who that it's naming
0	352	10056	For the loser now will be later to win	For the times, they are achanging.
0	353	10057	Come, senators, congressmen, please heed the call,	Don't stand in the doorway, don't block up the hall
0	354	10058	For he that gets hurt will be he who has stalled.	The battle outside raging
